State,District,Block/Tehsil,Village,No. of Surface lift Schemes according to the annual cost of maintenance - Upto Rs. 1000,No. of Surface lift Schemes according to the annual cost of maintenance - Rs.1000 to 10000 ,No. of Surface lift Schemes according to the annual cost of maintenance - Rs.10000 to 50000,No. of Surface lift Schemes according to the annual cost of maintenance - Rs.50000 to 100000,No. of Surface lift Schemes according to the annual cost of maintenance - More than Rs. 100000
ODISHA,Angul,PALALAHADA,RAJADANGA,6,0,0,0,0
ODISHA,Angul,PALALAHADA,RANJO,1,0,0,0,0
ODISHA,Angul,PALALAHADA,RANJU,6,0,0,0,0
ODISHA,Angul,PALALAHADA,RENGALA MUNDA,2,0,0,0,0
ODISHA,Angul,PALALAHADA,SAHUPADA,1,0,0,0,0
ODISHA,Angul,PALALAHADA,SANKHAMUR,5,0,0,0,0
ODISHA,Angul,PALALAHADA,SARABEDA,1,0,0,0,0
ODISHA,Angul,PALALAHADA,SATYA BANDHA,2,0,0,0,0
ODISHA,Angul,PALALAHADA,SIARI MALIA,1,0,0,0,0
ODISHA,Angul,PALALAHADA,SIARIA,3,0,0,0,0
ODISHA,Angul,PALALAHADA,SIGADA,1,0,0,0,0
ODISHA,Angul,PALALAHADA,SIMILIPALA,0,1,0,0,0
ODISHA,Angul,PALALAHADA,TAPAR,1,0,0,0,0
ODISHA,Angul,PALALAHADA,TILEIPASI,2,0,0,0,0
ODISHA,Angul,TALACHERA,GHANTAPADA,7,0,0,0,0
ODISHA,Angul,TALACHERA,JAGANATHPUR,1,0,0,0,0
ODISHA,Angul,TALACHERA,JORAGADIA,1,0,0,0,0
ODISHA,Angul,TALACHERA,TEHERANPUR,1,0,0,0,0
ODISHA,Balangir,AGALPUR,BABUPALI,2,0,0,0,0
ODISHA,Balangir,AGALPUR,BABUPHASADA,3,0,0,0,0
ODISHA,Balangir,AGALPUR,BAIGANKHARI,1,2,0,0,0
ODISHA,Balangir,AGALPUR,BAKATI,0,2,0,0,0
ODISHA,Balangir,AGALPUR,BANJHIPALI,2,0,0,0,0
ODISHA,Balangir,AGALPUR,DUDUKA,2,0,0,0,0
ODISHA,Balangir,AGALPUR,GANDAPALI,1,0,0,0,0
ODISHA,Balangir,AGALPUR,GHUCHEPALI,5,0,0,0,0
ODISHA,Balangir,AGALPUR,HARABHANGA,0,2,0,0,0
ODISHA,Balangir,AGALPUR,INGASA,1,1,0,0,0
ODISHA,Balangir,AGALPUR,JHANKARPALI,1,0,0,0,0
ODISHA,Balangir,AGALPUR,JHARABANDHALI,3,0,0,0,0
ODISHA,Balangir,AGALPUR,KANTHIPALI,0,1,0,1,0
ODISHA,Balangir,AGALPUR,KUTASINGHA,1,4,0,0,0
ODISHA,Balangir,AGALPUR,LATASARA,3,0,0,0,0
ODISHA,Balangir,AGALPUR,MAHULAPALI,1,0,0,0,0
ODISHA,Balangir,AGALPUR,NAAGAON,2,0,0,0,0
ODISHA,Balangir,AGALPUR,RODHA,0,1,0,0,0
ODISHA,Balangir,AGALPUR,TETELANGAON,2,1,0,0,0
ODISHA,Balangir,BALANGIR,BAGHALA,0,0,1,0,0
ODISHA,Balangir,BALANGIR,BANDHANGHAR,2,0,0,0,0
ODISHA,Balangir,BALANGIR,BANIAPALI,1,0,0,0,0
ODISHA,Balangir,BALANGIR,BANKEDA,1,0,0,0,0
ODISHA,Balangir,BALANGIR,BHUNDIMUHAN,2,0,0,0,0
ODISHA,Balangir,BALANGIR,BHUTIARBAHAL,6,2,0,0,0
ODISHA,Balangir,BALANGIR,BIDIGHAT,1,0,0,0,0
ODISHA,Balangir,BALANGIR,CHANDANBHATI,0,1,0,0,0
ODISHA,Balangir,BALANGIR,CHAREIMARA,1,0,0,0,0
ODISHA,Balangir,BALANGIR,CHUDAPALI,0,1,0,0,0
ODISHA,Balangir,BALANGIR,DANGAGHAT,1,1,0,0,0
ODISHA,Balangir,BALANGIR,DHUMAMARA,1,0,0,0,0
ODISHA,Balangir,BALANGIR,DUANPALI,2,0,0,0,0
ODISHA,Balangir,BALANGIR,DUDUKASIRA,1,0,0,0,0
ODISHA,Balangir,BALANGIR,GARJAN,2,0,0,0,0
ODISHA,Balangir,BALANGIR,JANAKAPUR,1,0,0,0,0
ODISHA,Balangir,BALANGIR,JIRATAMAL,3,2,0,0,0
ODISHA,Balangir,BALANGIR,KAGAON,1,0,0,0,0
ODISHA,Balangir,BALANGIR,KAKHAL,1,0,0,0,0
ODISHA,Balangir,BALANGIR,KALIJHARAN,1,0,0,0,0
ODISHA,Balangir,BALANGIR,KANKARA,3,0,0,0,0
ODISHA,Balangir,BALANGIR,KOTA,2,0,0,0,0
ODISHA,Balangir,BALANGIR,KUDUSINGHA,1,1,0,0,0
ODISHA,Balangir,BALANGIR,KUNDAPANI,3,0,0,0,0
ODISHA,Balangir,BALANGIR,KUTHURLA,3,1,0,0,0
ODISHA,Balangir,BALANGIR,KUTUMDOLA,3,0,0,0,0
ODISHA,Balangir,BALANGIR,MADHIAPALI,1,0,0,0,0
ODISHA,Balangir,BALANGIR,MANKADACHUAN,0,1,0,0,0
ODISHA,Balangir,BALANGIR,MAYABARHA,1,1,0,0,0
ODISHA,Balangir,BALANGIR,NARAYANPUR,1,0,0,0,0
ODISHA,Balangir,BALANGIR,PHASADA,1,0,0,0,0
ODISHA,Balangir,BALANGIR,PHATAKARA,3,0,0,0,0
ODISHA,Balangir,BALANGIR,PIPALAKANI,2,0,0,0,0
ODISHA,Balangir,BALANGIR,RANIPALI,1,1,0,0,0
ODISHA,Balangir,BALANGIR,RINABACHANA,1,0,0,0,0
ODISHA,Balangir,BALANGIR,SADAIPALI,2,2,0,0,0
ODISHA,Balangir,BALANGIR,SAKAMA,0,1,0,0,0
ODISHA,Balangir,BALANGIR,SARASAPITA,2,0,0,0,0
ODISHA,Balangir,BALANGIR,SAUNTAMUNDA,1,0,0,0,0
ODISHA,Balangir,BALANGIR,SINDURBAHAL,0,0,1,0,0
ODISHA,Balangir,BALANGIR,SIRISHA,3,0,0,0,0
ODISHA,Balangir,BALANGIR,UCHABAHAL,2,0,0,0,0
ODISHA,Balangir,BALANGIR,ULUSAR,1,0,1,0,0
ODISHA,Balangir,BANGOMUNDA,ARSATULA,1,0,0,0,0
ODISHA,Balangir,BANGOMUNDA,BADAPADA,1,0,0,0,0
ODISHA,Balangir,BANGOMUNDA,BALADA,1,0,0,0,0
ODISHA,Balangir,BANGOMUNDA,BHUSALADA,2,0,0,0,0
ODISHA,Balangir,BANGOMUNDA,CHANDUTARA,0,2,0,0,0
ODISHA,Balangir,BANGOMUNDA,GANDHARLA,2,0,0,0,0
ODISHA,Balangir,BANGOMUNDA,GHARLA,1,0,0,0,0
ODISHA,Balangir,BANGOMUNDA,JAMKHUNTA,1,0,0,0,0
ODISHA,Balangir,BANGOMUNDA,JURABANDHA,2,0,0,0,0
ODISHA,Balangir,BANGOMUNDA,KALAKUTA,1,0,0,0,0
ODISHA,Balangir,BANGOMUNDA,KHAJELUBAHAL,0,0,0,1,0
ODISHA,Balangir,BANGOMUNDA,MALAKASADA,1,0,0,0,0
ODISHA,Balangir,BANGOMUNDA,MAMIAN,3,0,0,0,0
ODISHA,Balangir,BANGOMUNDA,PARUABHADI,1,0,0,0,0
ODISHA,Balangir,BANGOMUNDA,SALEBARATA,3,0,0,0,0
ODISHA,Balangir,BANGOMUNDA,SANAGAMADA,2,0,0,0,0
ODISHA,Balangir,BANGOMUNDA,SANAMULA,2,0,0,0,0
ODISHA,Balangir,BANGOMUNDA,SANDHISARA,1,0,0,0,0
ODISHA,Balangir,BANGOMUNDA,SINDHEKELA,2,0,0,0,0
ODISHA,Balangir,BANGOMUNDA,SRIRAM,3,0,0,0,0
ODISHA,Balangir,BANGOMUNDA,TUREKELA,2,0,0,0,0
ODISHA,Balangir,BELAPARA,BAHABAL,0,0,2,0,0
ODISHA,Balangir,BELAPARA,BAIJALSAGAR,0,0,3,0,0
ODISHA,Balangir,BELAPARA,BELAPARA,0,9,0,0,0
ODISHA,Balangir,BELAPARA,BUDHABHATA,0,3,0,0,0
ODISHA,Balangir,BELAPARA,CHACHERABENGA,0,10,0,0,0
ODISHA,Balangir,BELAPARA,DEBRIPALI,0,2,0,0,0
ODISHA,Balangir,BELAPARA,DHUMABHATA,0,9,0,0,0
ODISHA,Balangir,BELAPARA,JHARAPHATAMUNDA,0,2,0,0,0
ODISHA,Balangir,BELAPARA,KENAKEBA,0,4,0,0,0
ODISHA,Balangir,BELAPARA,KHAIRAMAL,0,0,2,4,0
ODISHA,Balangir,BELAPARA,KHARABAHAL,0,1,0,0,0
ODISHA,Balangir,BELAPARA,MADHYAPUR,0,1,0,0,0
ODISHA,Balangir,BELAPARA,MALAPARA,0,5,0,0,0
ODISHA,Balangir,BELAPARA,MANDAL,0,0,3,0,0
ODISHA,Balangir,BELAPARA,MURIBAHAL,0,6,0,0,0
ODISHA,Balangir,BELAPARA,PARALIMAL,0,0,2,0,0
ODISHA,Balangir,BELAPARA,UDINGA,0,2,0,0,0
ODISHA,Balangir,DEOGAON,AMADAHAN,2,1,0,0,0
ODISHA,Balangir,DEOGAON,ANTARLA,0,4,0,0,0
ODISHA,Balangir,DEOGAON,ARDA,7,0,0,0,0
ODISHA,Balangir,DEOGAON,BABIJORE,4,0,0,0,0
ODISHA,Balangir,DEOGAON,BADABANDHA,1,1,0,0,0
ODISHA,Balangir,DEOGAON,BAHALI,0,1,0,0,0
ODISHA,Balangir,DEOGAON,BRAHMANIPALI,1,0,0,0,0
ODISHA,Balangir,DEOGAON,BUDHABAHAL,1,2,1,0,0
ODISHA,Balangir,DEOGAON,CHHATAPIPAL,0,2,0,0,0
ODISHA,Balangir,DEOGAON,DEOGAON,0,1,0,0,0
ODISHA,Balangir,DEOGAON,DESANDHA,4,0,0,0,0
ODISHA,Balangir,DEOGAON,GAIBAHAL,8,0,0,0,0
ODISHA,Balangir,DEOGAON,GAMBHARIMAL,1,2,0,0,0
ODISHA,Balangir,DEOGAON,GAUDAGOTHA,2,8,0,0,0
ODISHA,Balangir,DEOGAON,HATISARA,3,0,0,0,0
ODISHA,Balangir,DEOGAON,JURALAKANI,1,2,0,0,0
ODISHA,Balangir,DEOGAON,KACHHARPALI,6,0,0,0,0
ODISHA,Balangir,DEOGAON,KANAKAPUR,1,0,0,0,0
ODISHA,Balangir,DEOGAON,KHARASELADUNGURI,0,3,0,0,0
ODISHA,Balangir,DEOGAON,KUNDEIMAL,7,0,0,0,0
ODISHA,Balangir,DEOGAON,KUTURLA,1,2,0,0,0
ODISHA,Balangir,DEOGAON,MAHALEI,4,0,0,0,0
ODISHA,Balangir,DEOGAON,MURASINGH,4,1,0,0,0
ODISHA,Balangir,DEOGAON,NUAPALI,3,9,0,0,0
ODISHA,Balangir,DEOGAON,PIPALPADAR,0,1,0,0,0
ODISHA,Balangir,DEOGAON,RATAKHANDI,0,7,0,0,0
ODISHA,Balangir,DEOGAON,RENGALI,3,0,0,0,0
ODISHA,Balangir,DEOGAON,SARASABAHAL,1,1,0,0,0
ODISHA,Balangir,DEOGAON,SIKUAN,3,2,0,0,0
ODISHA,Balangir,DEOGAON,SILETAKANI,15,0,0,0,0
ODISHA,Balangir,DEOGAON,TEPREN,0,1,0,0,0
ODISHA,Balangir,GUDVELA,ATAGAON,2,0,0,0,0
ODISHA,Balangir,GUDVELA,BHOIGURA,2,0,0,0,0
ODISHA,Balangir,GUDVELA,BHUANPARA,1,1,0,0,0
ODISHA,Balangir,GUDVELA,BIRAMUNDA,3,0,0,0,0
ODISHA,Balangir,GUDVELA,CHANTIPADAR,2,0,0,0,0
ODISHA,Balangir,GUDVELA,CHINCHEDA,11,0,0,0,0
ODISHA,Balangir,GUDVELA,DELEIMUNDA,3,0,0,0,0
ODISHA,Balangir,GUDVELA,DEMUHAN,0,0,4,0,0
ODISHA,Balangir,GUDVELA,DHANAPUR,0,0,2,0,0
ODISHA,Balangir,GUDVELA,DUDUNGAMAL,0,0,2,0,0
ODISHA,Balangir,GUDVELA,DUGURIPALI,3,0,0,0,0
ODISHA,Balangir,GUDVELA,DULIKANA,0,1,0,0,0
ODISHA,Balangir,GUDVELA,DUNGIBAHAL,0,1,3,0,0
ODISHA,Balangir,GUDVELA,GANIANGABHA,1,0,0,0,0
ODISHA,Balangir,GUDVELA,KENDUPADAR,3,0,0,0,0
ODISHA,Balangir,GUDVELA,KHARDA,5,0,0,0,0
ODISHA,Balangir,GUDVELA,KOTAGAON,4,0,0,0,0
ODISHA,Balangir,GUDVELA,KUKEDAMAL,5,0,0,0,0
ODISHA,Balangir,GUDVELA,LUKAPARA,1,0,0,0,0
ODISHA,Balangir,GUDVELA,MADHIAPALI,6,0,0,0,0
ODISHA,Balangir,GUDVELA,MANDEKELA,3,0,0,0,0
ODISHA,Balangir,GUDVELA,NAAGAON,5,0,0,0,0
ODISHA,Balangir,GUDVELA,NUANPARA,2,0,0,0,0
ODISHA,Balangir,GUDVELA,PENDIMUNDA,3,0,0,0,0
ODISHA,Balangir,GUDVELA,PIPALMUNDA,5,0,0,0,0
ODISHA,Balangir,GUDVELA,RAJIKELA,4,0,0,0,0
ODISHA,Balangir,GUDVELA,SANDHISARA,0,0,4,0,0
ODISHA,Balangir,GUDVELA,SARAGADA,4,0,0,0,0
ODISHA,Balangir,GUDVELA,SASANAPALI,3,0,0,0,0
ODISHA,Balangir,GUDVELA,SINDHURMUNDA,1,0,3,0,0
ODISHA,Balangir,GUDVELA,SINDIRABAHALI,1,0,0,0,0
ODISHA,Balangir,GUDVELA,TAKASUGUDA,0,0,3,0,0
ODISHA,Balangir,GUDVELA,TENTULIKHUNTI,3,0,0,0,1
ODISHA,Balangir,GUDVELA,TIRCHABAHAL,0,0,2,0,0
ODISHA,Balangir,KHAPRAKHOL,AMBABAHALI,3,0,0,0,0
ODISHA,Balangir,KHAPRAKHOL,BADAUDEN,1,0,0,0,0
ODISHA,Balangir,KHAPRAKHOL,BAGAMUNDA,0,0,1,1,0
ODISHA,Balangir,KHAPRAKHOL,BANAMAL,9,0,0,0,0
ODISHA,Balangir,KHAPRAKHOL,BANDEPADAR,1,1,0,0,0
ODISHA,Balangir,KHAPRAKHOL,BANJHIPALI,2,0,0,0,0
ODISHA,Balangir,KHAPRAKHOL,BENDER,0,5,1,0,0
ODISHA,Balangir,KHAPRAKHOL,BHALUCHUAN,0,3,1,0,0
ODISHA,Balangir,KHAPRAKHOL,CHAHAKPARA,3,1,1,0,0
ODISHA,Balangir,KHAPRAKHOL,CHAULABANJHI,9,1,0,0,0
ODISHA,Balangir,KHAPRAKHOL,CHORAMUNDA,1,0,0,0,0
ODISHA,Balangir,KHAPRAKHOL,DAMANIMAL,3,0,0,0,0
ODISHA,Balangir,KHAPRAKHOL,DAMEIPALI,1,0,0,0,0
ODISHA,Balangir,KHAPRAKHOL,DANGIABAHAL,0,0,1,0,0
ODISHA,Balangir,KHAPRAKHOL,DEDARAH,0,0,3,0,0
ODISHA,Balangir,KHAPRAKHOL,DHANDAMUNDA,1,7,4,0,0
ODISHA,Balangir,KHAPRAKHOL,DUNDEL,0,0,1,0,0
ODISHA,Balangir,KHAPRAKHOL,GAANBHATALI,0,0,1,0,0
ODISHA,Balangir,KHAPRAKHOL,GAUDAPALI,0,3,0,0,0
ODISHA,Balangir,KHAPRAKHOL,GHUNASAR,0,1,0,0,0
ODISHA,Balangir,KHAPRAKHOL,HARLI,0,0,2,0,0
ODISHA,Balangir,KHAPRAKHOL,JURIA,0,2,3,0,0
ODISHA,Balangir,KHAPRAKHOL,KANAGAON,1,0,0,0,0
ODISHA,Balangir,KHAPRAKHOL,KARUANJHAR,0,0,2,0,0
ODISHA,Balangir,KHAPRAKHOL,KECHHOBAHAL,2,0,0,0,0
ODISHA,Balangir,KHAPRAKHOL,KIRABAHAL,0,2,0,0,0
ODISHA,Balangir,KHAPRAKHOL,LACHHIMAL,0,1,1,0,0
ODISHA,Balangir,KHAPRAKHOL,LATHOR,3,0,0,0,0
ODISHA,Balangir,KHAPRAKHOL,LUHASINHA,3,4,1,0,0
ODISHA,Balangir,KHAPRAKHOL,LUHURETA,0,0,2,0,0
ODISHA,Balangir,KHAPRAKHOL,MAHURUNDI,5,0,0,0,0
ODISHA,Balangir,KHAPRAKHOL,NAGENAMAL,0,3,0,0,0
ODISHA,Balangir,KHAPRAKHOL,PACHERA,0,1,1,0,0
ODISHA,Balangir,KHAPRAKHOL,PADIABAHAL,0,0,1,0,0
ODISHA,Balangir,KHAPRAKHOL,PATRAPALI,1,0,0,0,0
ODISHA,Balangir,KHAPRAKHOL,PIPALBAHAL,9,0,0,0,0
ODISHA,Balangir,KHAPRAKHOL,SALEPALI,5,0,0,0,0
ODISHA,Balangir,KHAPRAKHOL,SANAUDENA,0,0,1,0,0
ODISHA,Balangir,KHAPRAKHOL,SAPAMUNDA,1,0,0,0,0
ODISHA,Balangir,KHAPRAKHOL,SARGIPALI,1,0,0,0,0
ODISHA,Balangir,KHAPRAKHOL,SUNAMUDI,1,0,0,0,0
ODISHA,Balangir,KHAPRAKHOL,TAMBIPADAR,2,0,0,0,0
ODISHA,Balangir,KHAPRAKHOL,TELENAPALI,1,0,14,0,0
ODISHA,Balangir,LOISINGHA,BIJAPALI,0,1,0,0,0
ODISHA,Balangir,LOISINGHA,BRAHMANIPALI,0,2,0,0,0
ODISHA,Balangir,LOISINGHA,GHUNGI,0,2,0,0,0
ODISHA,Balangir,LOISINGHA,JAMUTIA,0,2,0,0,0
ODISHA,Balangir,LOISINGHA,KARLAPAT,1,2,0,0,0
ODISHA,Balangir,LOISINGHA,KUSAMEL,0,2,0,0,0
ODISHA,Balangir,LOISINGHA,LANKABAHAL,0,1,0,0,0
ODISHA,Balangir,LOISINGHA,MAGURBEDA,1,2,0,0,0
ODISHA,Balangir,LOISINGHA,PALESARA,0,2,0,0,0
ODISHA,Balangir,MURIBAHAL,ANTARLA,0,0,2,0,0
ODISHA,Balangir,MURIBAHAL,BANKEL,0,0,1,0,0
ODISHA,Balangir,MURIBAHAL,BHAINRUGUDA,2,0,0,0,0
ODISHA,Balangir,MURIBAHAL,BHANDARBANJHI,0,0,2,0,0
ODISHA,Balangir,MURIBAHAL,BHOIPARA,1,0,0,0,0
ODISHA,Balangir,MURIBAHAL,BUDHIPADAR,5,0,0,0,0
ODISHA,Balangir,MURIBAHAL,CHITRAMUNDA,2,0,0,0,0
ODISHA,Balangir,MURIBAHAL,GOIMUNDA,4,0,1,0,0
ODISHA,Balangir,MURIBAHAL,KARLA,0,0,2,0,0
ODISHA,Balangir,MURIBAHAL,MALAPADA,4,0,0,0,0
ODISHA,Balangir,MURIBAHAL,SILETPARA,2,0,0,0,0
ODISHA,Balangir,PATNAGARH,AINLAPALI,1,0,0,0,0
ODISHA,Balangir,PATNAGARH,BAGBAHALI,0,1,0,0,0
ODISHA,Balangir,PATNAGARH,BHATAPALI,1,0,0,0,0
ODISHA,Balangir,PATNAGARH,BUDABAHAL,2,0,0,0,0
ODISHA,Balangir,PATNAGARH,CHHELKHAI,4,0,0,0,0
ODISHA,Balangir,PATNAGARH,DAITARIMUNDA,1,0,0,0,0
ODISHA,Balangir,PATNAGARH,DEBHUIN,1,0,0,0,0
ODISHA,Balangir,PATNAGARH,DIANDUMER,2,0,0,0,0
ODISHA,Balangir,PATNAGARH,GANDABAHAL,1,0,0,0,0
ODISHA,Balangir,PATNAGARH,GHASIAN,1,0,0,0,0
ODISHA,Balangir,PATNAGARH,GHUCHEPALI,0,1,0,0,0
ODISHA,Balangir,PATNAGARH,GUHIRAPALI,2,0,0,0,0
ODISHA,Balangir,PATNAGARH,INDUPUR,3,2,0,0,0
ODISHA,Balangir,PATNAGARH,KAUDIA,3,0,0,0,0
ODISHA,Balangir,PATNAGARH,KHANTASAMALAI,4,0,0,0,0
ODISHA,Balangir,PATNAGARH,KHASEL,2,0,0,0,0
ODISHA,Balangir,PATNAGARH,KUDMUNDA,2,0,0,0,0
ODISHA,Balangir,PATNAGARH,KUTURLA,2,0,0,0,0
ODISHA,Balangir,PATNAGARH,LARAMBHA,1,0,0,0,0
ODISHA,Balangir,PATNAGARH,NAKATASAR,1,0,0,0,0
ODISHA,Balangir,PATNAGARH,PODHAPADAR,1,0,0,0,0
ODISHA,Balangir,PATNAGARH,RENGALI,7,1,0,0,0
ODISHA,Balangir,PATNAGARH,SARAMUHAN,2,1,0,0,0
ODISHA,Balangir,PATNAGARH,SUNAMUDI,1,1,0,0,0
ODISHA,Balangir,PATNAGARH,TAMIAN,2,0,0,0,0
ODISHA,Balangir,PATNAGARH,TENTULIKHUNTI,9,5,0,0,0
ODISHA,Balangir,PUINTALA,ARJUNDA,1,0,0,0,0
ODISHA,Balangir,PUINTALA,BANABAHAL,0,4,0,0,0
ODISHA,Balangir,PUINTALA,BARAGAON,3,6,0,0,0
ODISHA,Balangir,PUINTALA,BILEISARDA,2,0,0,1,0
ODISHA,Balangir,PUINTALA,CHHATAMAKHANA,0,1,0,0,0
ODISHA,Balangir,PUINTALA,DURGAPALI,0,0,0,1,0
ODISHA,Balangir,PUINTALA,KULATHIPALI,0,0,1,0,0
ODISHA,Balangir,PUINTALA,KUNDEIBAHALI,0,1,0,0,0
ODISHA,Balangir,PUINTALA,LUKAPADA,0,0,0,2,0
ODISHA,Balangir,PUINTALA,MALAMUNDA,1,1,0,0,0
ODISHA,Balangir,PUINTALA,MANGALAMUNDA,4,0,0,0,0
ODISHA,Balangir,PUINTALA,MICHHAPALI,1,0,0,0,0
ODISHA,Balangir,PUINTALA,PADAMPUR,1,0,0,0,0
ODISHA,Balangir,PUINTALA,PUDAPALI,0,1,0,0,0
ODISHA,Balangir,PUINTALA,RANDA,4,3,0,0,0
ODISHA,Balangir,PUINTALA,SANKARBHOJI,0,1,0,0,1
ODISHA,Balangir,PUINTALA,UDIAPALI,3,0,0,0,0
ODISHA,Balangir,SAINTALA,AMBAPALLI,2,0,0,0,0
ODISHA,Balangir,SAINTALA,BABAJORI,5,5,0,0,0
ODISHA,Balangir,SAINTALA,BABUBHALABA,4,1,0,0,0
ODISHA,Balangir,SAINTALA,BADIPARA,1,0,0,0,0
ODISHA,Balangir,SAINTALA,BARAGAON,2,0,0,0,0
ODISHA,Balangir,SAINTALA,BELAGHATI,0,2,0,0,0
ODISHA,Balangir,SAINTALA,BHEGIPADAR,4,1,0,0,0
ODISHA,Balangir,SAINTALA,BIJAPADAR,2,0,0,0,0
ODISHA,Balangir,SAINTALA,BRAHMANI,2,0,0,0,0
ODISHA,Balangir,SAINTALA,CHHANCHHADA,4,3,0,0,0
ODISHA,Balangir,SAINTALA,CHILABAHAL,1,0,0,0,0
ODISHA,Balangir,SAINTALA,DENGA,1,1,0,0,0
ODISHA,Balangir,SAINTALA,DEULI,1,0,0,0,0
ODISHA,Balangir,SAINTALA,DHUMAPALI,0,2,0,0,0
ODISHA,Balangir,SAINTALA,DHUNAKEDA,2,0,0,0,0
ODISHA,Balangir,SAINTALA,DUKALAGHATA,1,1,0,0,0
ODISHA,Balangir,SAINTALA,DUKERACHARACHARA,1,7,0,0,0
ODISHA,Balangir,SAINTALA,DUMERMUNDA,5,0,0,0,0
ODISHA,Balangir,SAINTALA,GAYALBHADI,4,0,0,0,0
ODISHA,Balangir,SAINTALA,GODARAMUNDA,0,10,0,0,0
ODISHA,Balangir,SAINTALA,JHIMANPALI,4,0,0,0,0
ODISHA,Balangir,SAINTALA,JHINKIDUNGURI,3,0,0,0,0
ODISHA,Balangir,SAINTALA,JURABANDHA,0,3,0,0,0
ODISHA,Balangir,SAINTALA,KADALIMUNDA,2,3,0,0,0
ODISHA,Balangir,SAINTALA,KAMARLAGA,1,0,0,0,0
ODISHA,Balangir,SAINTALA,KANDABHALABA,2,0,0,0,0
ODISHA,Balangir,SAINTALA,KANSAR,0,1,0,0,0
ODISHA,Balangir,SAINTALA,KECHHOMUHAN,3,3,0,0,0
ODISHA,Balangir,SAINTALA,KEUNMAL,0,5,0,0,0
ODISHA,Balangir,SAINTALA,KHAMAGUDA,0,6,0,0,0
ODISHA,Balangir,SAINTALA,KHARASELABANJHI,0,9,0,0,0
ODISHA,Balangir,SAINTALA,KHARIBAHAL,2,0,0,0,0
ODISHA,Balangir,SAINTALA,KUMBARI,2,0,0,0,0
ODISHA,Balangir,SAINTALA,KUMBHEKELA,0,2,0,0,0
ODISHA,Balangir,SAINTALA,KUSAMAL,3,0,0,0,0
ODISHA,Balangir,SAINTALA,KUSMELA,2,0,0,0,0
ODISHA,Balangir,SAINTALA,LACHUTA,3,2,0,0,0
ODISHA,Balangir,SAINTALA,LAPHERA,1,3,0,0,0
ODISHA,Balangir,SAINTALA,LATHAKENDU,5,0,0,0,0
ODISHA,Balangir,SAINTALA,MERABAHALI,0,2,0,0,0
ODISHA,Balangir,SAINTALA,NARABAHALI,3,0,0,0,0
ODISHA,Balangir,SAINTALA,NUANMUNDA,0,3,1,0,0
ODISHA,Balangir,SAINTALA,PATANIPITA,0,3,0,0,0
ODISHA,Balangir,SAINTALA,PITAMARA,5,0,0,0,0
ODISHA,Balangir,SAINTALA,SAIMARA,0,5,0,0,0
ODISHA,Balangir,SAINTALA,SAINTALA,0,2,0,0,0
ODISHA,Balangir,SAINTALA,SANADASMUNDA,3,0,0,0,0
ODISHA,Balangir,SAINTALA,SANTAUPHER,2,0,0,0,0
ODISHA,Balangir,SAINTALA,SILETAPARA,3,0,0,0,0
ODISHA,Balangir,SAINTALA,SISAKELA,0,3,0,0,0
ODISHA,Balangir,SAINTALA,TIKRAPADA,0,7,0,0,0
ODISHA,Balangir,SAINTALA,TURCHAUPHER,6,0,0,0,0
ODISHA,Balangir,SAINTALA,TUSATAPALI,4,1,0,0,0
ODISHA,Balangir,TITILAGARH,AMURLA,2,0,0,0,0
ODISHA,Balangir,TITILAGARH,ANTARLA,2,0,0,0,0
ODISHA,Balangir,TITILAGARH,BANJHIPADAR,0,2,0,0,0
ODISHA,Balangir,TITILAGARH,BELAPARA,0,1,0,0,0
ODISHA,Balangir,TITILAGARH,CHANDUTARA,0,1,1,0,0
ODISHA,Balangir,TITILAGARH,CHARABHATA,2,0,0,0,0
ODISHA,Balangir,TITILAGARH,DIGASIRA,1,0,0,0,0
ODISHA,Balangir,TITILAGARH,DINEIKELA,2,0,0,0,0
ODISHA,Balangir,TITILAGARH,GANDHARGOLA,1,0,0,0,0
ODISHA,Balangir,TITILAGARH,GHANTABAHALI,0,2,0,0,0
ODISHA,Balangir,TITILAGARH,GOHIRAPADAR,0,1,0,0,0
ODISHA,Balangir,TITILAGARH,GOUDADALA,1,0,0,0,0
ODISHA,Balangir,TITILAGARH,GOYABOBIRI,0,1,0,0,0
ODISHA,Balangir,TITILAGARH,GURJIBHATA,0,0,1,0,0
ODISHA,Balangir,TITILAGARH,ICHIGAON,2,0,0,0,0
ODISHA,Balangir,TITILAGARH,JALAPADAR,1,1,0,0,0
ODISHA,Balangir,TITILAGARH,KHAIRKOTE,0,2,0,0,0
ODISHA,Balangir,TITILAGARH,KHOLAN,1,1,0,0,0
ODISHA,Balangir,TITILAGARH,KURLUBHATA,2,0,0,0,0
ODISHA,Balangir,TITILAGARH,KUSAKELA,2,0,0,0,0
ODISHA,Balangir,TITILAGARH,LIMAPARA,2,0,0,0,0
ODISHA,Balangir,TITILAGARH,LOITARA,0,1,0,0,0
ODISHA,Balangir,TITILAGARH,LUDHIAPARA,1,0,0,0,0
ODISHA,Balangir,TITILAGARH,LUTHERBANDHA,0,0,2,0,0
ODISHA,Balangir,TITILAGARH,MAHADA,0,0,2,0,0
ODISHA,Balangir,TITILAGARH,MALIJHOR,0,1,0,0,0
ODISHA,Balangir,TITILAGARH,MARLADA,3,0,0,0,0
ODISHA,Balangir,TITILAGARH,NAREN,2,0,0,0,0
